Order_ID,Order_Date,Region,Category,Product,Quantity,Cost_Price,Selling_Price,Discount_Percent,Sales,Profit,Loss_Flag,,
34,15-12-2024,North,Electronics,Tablet,17,785.2,1238.11,5,21047.82,7699.45,Profit,,
35,08-03-2024,South,Grocery,Spices,13,7.15,13.06,5,169.72,76.76,Profit,,
36,15-12-2023,East,Office Supplies,Printer,19,3.96,4.97,10,94.43,19.2,Profit,,
37,12-10-2023,East,Electronics,Laptop,17,145.73,211.27,15,3591.59,1114.12,Profit,,
38,09-06-2023,West,Clothing,Jacket,5,30.41,54.99,0,274.94,122.87,Profit,,
39,09-08-2023,South,Office Supplies,Paper,18,22.97,45.02,0,810.35,396.96,Profit,,
40,11-12-2023,West,Grocery,Snacks,9,14.27,24.91,0,224.15,95.68,Profit,,
41,15-04-2023,Central,Electronics,Headphones,13,337.84,535.72,5,6964.34,2572.46,Profit,,
42,05-04-2023,North,Grocery,Snacks,16,8.14,8.67,5,138.79,8.5,Profit,,
43,25-01-2024,East,Electronics,Tablet,5,538.35,775.6,5,3878.02,1186.26,Profit,,
44,10-04-2023,North,Office Supplies,Notebook,10,35.85430233,84.13,10,841.29,172.23,Profit,,
45,03-01-2024,West,Furniture,Cabinet,13,119.39,114.46,30,1487.96,-64.17,Loss,,
46,19-12-2023,North,Electronics,Mobile,18,719.05,756.3,20,13613.43,670.57,Profit,,
47,10-09-2024,East,Furniture,Sofa,11,85.84,138.06,15,1518.68,574.46,Profit,,
48,28-09-2023,North,Grocery,Spices,8,10.7,14.22,15,113.77,28.2,Profit,,
49,14-02-2023,West,Office Supplies,Notebook,11,15.95,16.48,15,181.29,5.82,Profit,,
50,15-04-2024,West,Clothing,Jacket,17,38.71,58.5,10,994.55,-336.56,Loss,,
51,03-07-2024,South,Electronics,Monitor,13,719.27,1103.79,5,14349.24,4998.76,Profit,,
52,08-05-2023,West,Office Supplies,Printer,19,29.31,23.3,30,442.79,-114.01,Loss,,
53,23-01-2024,South,Clothing,Jacket,19,32.07,36.51,0,693.63,84.29,Profit,,
54,22-03-2023,South,Electronics,Laptop,16,1048.76,1165.18,5,18642.85,1862.68,Profit,,
55,19-07-2024,West,Grocery,Spices,11,28.6,34.13,20,375.44,60.8,Profit,,
56,28-10-2023,East,Office Supplies,Pen,8,6.7,6.19,40,49.51,-4.1,Loss,,
57,05-10-2024,South,Clothing,Shoes,1,127.02,155.88,15,155.88,-28.85,Loss,,
58,25-09-2024,West,Office Supplies,Printer,12,34.56,50.28,0,603.33,188.56,Profit,,
59,06-01-2024,South,Furniture,Chair,8,420.35,650.07,5,5200.6,1837.81,Profit,,
60,14-08-2024,South,Electronics,Tablet,1,348.91,392.54,20,392.54,43.63,Profit,,
61,16-07-2023,East,Grocery,Rice,11,5.19,8.39,0,92.34,35.29,Profit,,
62,22-12-2024,Central,Clothing,Shirt,1,155.99,127.55,0,127.55,-28.44,Loss,,
63,13-03-2023,East,Office Supplies,Printer,12,24.29,40.05,0,480.6,189.18,Profit,,
64,16-02-2023,East,Furniture,Table,5,764.29,790.07,20,3950.36,128.92,Profit,,
65,08-11-2024,North,Office Supplies,Notebook,13,54.23,59.01,5,767.12,62.1,Profit,,
66,22-08-2023,South,Furniture,Table,18,161.6,149.01,40,2682.19,-226.63,Loss,,
67,24-10-2023,Unknown,Grocery,Rice,17,14.28,13.84,20,235.33,-7.4,Loss,,
68,23-03-2023,East,Office Supplies,Stapler,5,58,85.27,0,426.33,136.33,Profit,,
69,27-08-2023,South,Grocery,Spices,14,27.04,44.52,0,623.28,244.66,Profit,,
70,14-04-2023,North,Office Supplies,Pen,7,61.94,76.96,10,538.74,105.13,Profit,,
71,25-01-2024,West,Clothing,Shoes,17,86.47,155.92,0,2650.72,1180.77,Profit,,
72,12-10-2023,West,Office Supplies,Paper,2,63.93,86.08,5,172.15,44.29,Profit,,
73,09-04-2024,South,Office Supplies,Pen,15,11.44,11.49,30,172.34,0.78,Profit,,
74,12-10-2024,West,Clothing,Shirt,5,43.67,79.18,0,395.88,177.53,Profit,,
75,09-01-2024,East,Grocery,Spices,16,9.09,10.55,20,168.76,23.29,Profit,,
76,16-06-2023,Central,Furniture,Cabinet,18,216.9,301.46,0,5426.35,1522.17,Profit,,
77,15-01-2024,West,Furniture,Table,5,234.21,285.7,0,1428.5,257.47,Profit,,
78,30-12-2023,North,Office Supplies,Pen,15,64.35,87.09,0,1306.4,341.09,Profit,,
79,03-08-2023,East,Office Supplies,Notebook,15,28.38,45.95,15,689.32,263.61,Profit,,
80,17-11-2024,East,Furniture,Table,19,645.8,860.4,5,16347.64,4077.5,Profit,,
81,01-10-2023,Central,Furniture,Sofa,15,545.36,763.66,0,11454.97,3274.58,Profit,,
82,19-12-2024,East,Clothing,Shirt,17,66.69,75.53,10,1283.96,150.18,Profit,,
83,30-11-2024,East,Furniture,Cabinet,15,355.78,439.64,10,6594.66,1258.03,Profit,,
84,25-10-2024,Unknown,Furniture,Sofa,13,790.18,846.29,10,11001.77,729.45,Profit,,
85,15-03-2023,Central,Office Supplies,Pen,9,11.52,12.33,5,110.98,7.27,Profit,,
86,15-09-2024,Central,Furniture,Cabinet,4,697.99,830.93,15,3323.71,531.74,Profit,,
87,12-10-2024,Central,Furniture,Table,19,202.6,241.88,15,4595.8,746.49,Profit,,
88,25-06-2023,Central,Office Supplies,Printer,1,25.59,44.24,10,44.24,18.64,Profit,,
89,30-06-2024,North,Electronics,Laptop,18,439.17,790.55,0,14229.87,6324.75,Profit,,
90,08-09-2023,East,Electronics,Monitor,9,988.96,831.81,30,7486.27,-1414.35,Loss,,
91,17-06-2023,West,Furniture,Cabinet,12,741.04,657.75,30,7893.01,-999.47,Loss,,
92,18-04-2024,West,Office Supplies,Pen,8,15.27,20.27,0,162.14,39.97,Profit,,
93,24-01-2024,East,Office Supplies,Printer,4,34.74826667,57.56,20,230.24,14.49,Profit,,
94,04-10-2023,West,Grocery,Oil,1,39.23,40.93,10,40.93,1.7,Profit,,
95,17-10-2024,North,Clothing,Shoes,19,68.04,79.91,0,1518.23,225.53,Profit,,
96,05-12-2024,West,Electronics,Mobile,1,712.64,893.5,0,893.5,180.86,Profit,,
97,24-07-2024,West,Grocery,Beverages,4,17.1,20.39,0,81.57,13.17,Profit,,
98,13-08-2023,Central,Furniture,Sofa,15,182.67,211.43,10,3171.5,431.4,Profit,,
99,02-12-2024,East,Furniture,Sofa,4,427.86,639.13,0,2556.51,845.08,Profit,,
100,29-11-2023,South,Clothing,Shoes,14,33.2,38.28,15,535.99,71.14,Profit,,
101,27-02-2023,Central,Clothing,T-shirt,12,138.18,167.44,10,2009.34,351.22,Profit,,
102,23-08-2023,South,Electronics,Headphones,19,967.06,694.43,40,13194.1,-5179.99,Loss,,
103,02-02-2023,East,Grocery,Rice,1,18.85,21.81,5,21.81,2.96,Profit,,
104,20-11-2023,South,Grocery,Oil,9,40.36,41.88,10,376.92,13.66,Profit,,
105,15-02-2024,East,Electronics,Laptop,11,151.59,242.7,0,2669.71,1002.24,Profit,,
106,02-10-2023,West,Grocery,Spices,11,8.66,13.01,0,143.13,47.83,Profit,,
107,09-03-2023,East,Furniture,Table,8,370.1,508.68,20,4069.42,1108.63,Profit,,
108,05-08-2023,South,Office Supplies,Printer,17,55.36,70.2,10,1193.43,252.27,Profit,,
109,03-08-2024,Central,Furniture,Bed,17,391.98,422.57,30,7183.75,520.07,Profit,,
110,19-11-2023,East,Grocery,Beverages,10,32.53,39.24,20,392.42,67.11,Profit,,
111,06-08-2023,North,Grocery,Rice,3,7.37,9.68,0,29.05,6.94,Profit,,
112,02-11-2024,West,Grocery,Spices,15,28.21,22.5,30,337.51,-85.71,Loss,,
113,26-05-2024,Central,Furniture,Table,14,519.15,906.7,0,12693.83,5425.67,Profit,,
114,10-02-2024,North,Clothing,Shirt,4,118.66,147.13,20,588.52,113.86,Profit,,
115,20-10-2024,Central,Clothing,Shoes,12,141.74,159.29,0,1911.48,210.61,Profit,,
116,14-04-2024,Central,Grocery,Snacks,12,23.03,42.99,5,515.91,239.5,Profit,,
117,27-05-2023,West,Electronics,Laptop,14,643.69,1105.98,5,15483.77,6472.04,Profit,,
118,29-09-2023,East,Furniture,Sofa,13,376.64,643.38,10,8363.93,3467.59,Profit,,
119,23-05-2023,North,Grocery,Snacks,5,4.67,3.85,30,19.23,-4.11,Loss,,
120,10-09-2023,Central,Grocery,Rice,8,24.9,29.26,5,234.07,-34.9,Loss,,
121,28-07-2024,East,Office Supplies,Notebook,14,40.07,61.11,0,855.52,294.54,Profit,,
122,05-07-2024,North,Office Supplies,Printer,8,83.78,90.28,5,722.24,51.98,Profit,,
123,27-09-2023,West,Grocery,Spices,5,10.84,9.83,20,49.16,-5.04,Loss,,
124,21-08-2024,Central,Office Supplies,Printer,11,56.88,66.03,10,726.29,100.58,Profit,,
125,14-03-2024,South,Office Supplies,Pen,10,52.41,96.83,0,968.35,444.24,Profit,,
126,20-08-2024,East,Electronics,Tablet,5,228.69,319.06,0,1595.28,451.85,Profit,,
127,13-02-2024,East,Clothing,T-shirt,19,96.42,138.58,0,2633.04,801.05,Profit,,
128,06-01-2024,Central,Furniture,Table,15,105.77,87.86,40,1317.93,-268.69,Loss,,
129,13-08-2023,Unknown,Office Supplies,Paper,7,67.01,68.01,30,476.1,7.02,Profit,,
130,22-05-2023,North,Electronics,Laptop,7,548.18,712.52,10,4987.63,1150.34,Profit,,
131,05-06-2024,West,Furniture,Sofa,3,331.32,365.3,10,1095.9,-101.93,Loss,,
132,20-05-2024,South,Office Supplies,Paper,13,2.23,3.51,20,45.67,16.64,Profit,,
133,04-04-2023,South,Office Supplies,Stapler,13,24.03,30.91,15,401.89,89.47,Profit,,
134,18-02-2023,East,Clothing,T-shirt,12,156.73,187.28,5,2247.34,366.59,Profit,,
135,23-04-2023,Central,Furniture,Bed,17,212.58,419.16,0,7125.72,3511.91,Profit,,
136,06-06-2023,East,Clothing,T-shirt,14,54.62,76.92,15,1076.87,312.17,Profit,,
137,04-10-2024,Central,Office Supplies,Stapler,6,52.04,84.1,15,504.59,192.34,Profit,,
138,13-06-2023,East,Grocery,Spices,8,16.51,28.07,0,224.57,-92.48,Loss,,
139,27-11-2024,East,Grocery,Rice,17,24.64,30.01,10,510.1,91.3,Profit,,
140,08-03-2024,West,Clothing,Shirt,17,92.29,125.19,20,2128.17,559.24,Profit,,
141,02-09-2024,North,Office Supplies,Printer,15,27.86,38.32,5,574.77,156.9,Profit,,
142,07-03-2023,East,Office Supplies,Paper,3,37.14,55.98,0,167.95,56.54,Profit,,
143,30-01-2024,South,Office Supplies,Stapler,15,82.6,96.29,0,1444.32,205.39,Profit,,
144,26-01-2024,West,Electronics,Monitor,13,1007.63,1241.24,5,16136.13,3036.88,Profit,,
145,02-09-2024,Central,Furniture,Cabinet,13,697.78,712.61,20,9263.98,192.86,Profit,,
146,24-04-2024,South,Grocery,Oil,11,32.25,29.16,20,320.8,-33.9,Loss,,
147,25-06-2024,North,Electronics,Monitor,19,970.13,1342.79,0,25513.07,7080.57,Profit,,
148,15-09-2023,West,Furniture,Chair,13,63.86,95.17,10,1237.24,407.02,Profit,,
149,20-07-2024,South,Clothing,Shoes,13,118.22,149.14,5,1938.77,401.94,Profit,,
150,12-01-2023,West,Grocery,Oil,5,19.8826506,6.84,15,34.22,13.01,Profit,,
151,27-11-2024,West,Office Supplies,Stapler,10,67.18,84.18,15,841.79,169.96,Profit,,
152,28-04-2023,Central,Electronics,Mobile,3,584.6,778.17,20,2334.52,-580.7,Loss,,
153,29-11-2024,East,Furniture,Cabinet,2,775.46,847.8,15,1695.6,144.68,Profit,,
154,03-07-2024,West,Grocery,Spices,2,34.92,44.06,0,88.12,18.29,Profit,,
155,01-10-2023,West,Clothing,Jeans,15,78.53,86.99,5,1304.83,126.86,Profit,,
156,18-10-2024,Central,Office Supplies,Printer,15,40.99,51.43,10,771.52,156.62,Profit,,
157,15-12-2023,Central,Clothing,Jacket,14,39.02,47.66,0,667.22,120.95,Profit,,
158,25-04-2023,South,Grocery,Oil,12,22.47,40.84,0,490.13,220.52,Profit,,
159,28-10-2023,East,Clothing,T-shirt,12,44.61,57.57,5,690.81,155.54,Profit,,
160,21-03-2024,East,Furniture,Sofa,8,377.18,458.73,10,3669.83,652.38,Profit,,
161,11-06-2023,East,Furniture,Bed,11,521.68,874.11,0,9615.21,-3876.68,Loss,,
162,09-04-2024,Central,Grocery,Snacks,14,23.09,36.61,0,512.55,189.34,Profit,,
163,04-01-2023,North,Clothing,Jacket,2,31.05,33.11,5,66.22,-4.11,Loss,,
164,27-09-2023,West,Office Supplies,Stapler,14,81.77,95.25,0,1333.53,188.71,Profit,,
165,27-05-2024,South,Grocery,Snacks,9,30.29,31.37,15,282.34,9.74,Profit,,
166,02-07-2023,East,Clothing,Shirt,15,137.15,162.96,10,2444.4,387.22,Profit,,
167,03-06-2024,West,Electronics,Headphones,9,308.37,371.88,10,3346.91,571.59,Profit,,
168,19-04-2023,South,Clothing,Shoes,19,38.12,47.5,10,902.56,178.36,Profit,,
169,02-10-2024,East,Furniture,Cabinet,18,234.75,379.13,5,6824.32,2598.81,Profit,,
170,02-11-2023,South,Office Supplies,Printer,15,47.74,71.05,5,1065.69,349.58,Profit,,
171,16-10-2024,Central,Electronics,Monitor,12,788.56,1198.04,0,14376.49,4913.8,Profit,,
172,03-06-2024,North,Furniture,Table,4,532.05,637.44,30,2549.77,-421.57,Loss,,
173,15-09-2024,South,Office Supplies,Notebook,13,31.42,37.55,10,488.13,79.72,Profit,,
174,23-07-2023,West,Electronics,Laptop,14,991.97,1170.25,20,16383.51,2495.99,Profit,,
175,06-06-2023,North,Clothing,Shoes,7,37.7,46.96,5,328.74,64.82,Profit,,
176,18-01-2024,Central,Furniture,Chair,1,123.68,217.79,0,217.79,94.1,Profit,,
177,15-06-2023,West,Furniture,Bed,10,422.18,491.72,30,4917.16,695.35,Profit,,
178,06-07-2024,Unknown,Grocery,Oil,11,36.42,38.69,10,425.58,24.92,Profit,,
179,27-06-2024,North,Clothing,Jacket,12,149.39,197.6,0,2371.26,578.58,Profit,,
180,01-01-2023,South,Electronics,Monitor,3,704.86,787.86,0,2363.58,249,Profit,,
181,05-09-2024,South,Office Supplies,Pen,11,17.15,24.22,10,266.45,-77.84,Loss,,
182,28-11-2023,North,Grocery,Oil,6,32.6,31.2,15,187.22,-8.36,Loss,,
183,15-05-2024,South,Grocery,Beverages,1,43.1,41.1,15,41.1,-2,Loss,,
184,20-01-2023,North,Clothing,Shirt,11,114.47,131.21,0,1443.34,184.2,Profit,,
185,25-04-2023,Central,Clothing,T-shirt,14,121.08,170.42,10,2385.91,690.77,Profit,,
186,07-01-2024,East,Electronics,Headphones,2,1089.66,1274.35,15,2548.7,369.39,Profit,,
187,11-11-2023,Central,Grocery,Spices,9,39.71,32.66,30,293.93,-63.47,Loss,,
188,03-09-2023,Central,Grocery,Oil,19,25.45,30.79,0,584.96,101.44,Profit,,
189,01-03-2023,South,Grocery,Snacks,15,8.3,15.69,0,235.34,110.78,Profit,,
190,04-09-2023,South,Electronics,Headphones,3,351.47,293.28,30,879.85,-174.55,Loss,,
191,03-08-2024,South,Grocery,Snacks,12,21.13,23.81,10,285.67,-32.14,Loss,,
192,22-03-2023,East,Electronics,Headphones,12,861.55,1153.74,20,13844.94,3506.35,Profit,,
193,29-03-2023,South,Office Supplies,Notebook,11,12.98,16.47,10,181.17,38.4,Profit,,
194,12-05-2024,West,Office Supplies,Paper,14,37.65,52.54,15,735.57,208.51,Profit,,
195,12-03-2023,North,Office Supplies,Printer,4,34.74826667,80.38,0,321.51,122.78,Profit,,
196,29-06-2024,South,Grocery,Rice,17,13.84,24.08,10,409.42,174.07,Profit,,
197,09-05-2023,East,Furniture,Bed,10,77.63,86.98,15,869.77,93.48,Profit,,
198,12-05-2023,East,Furniture,Chair,10,279.9,334.46,20,3344.63,545.61,Profit,,
199,06-11-2024,West,Grocery,Oil,10,20.41,24.08,0,240.78,36.67,Profit,,
200,01-05-2024,East,Clothing,Jacket,1,14.38,21.83,0,21.83,7.45,Profit,,
201,16-07-2024,North,Office Supplies,Stapler,14,40.97,51.43,15,720.08,146.48,Profit,,
202,19-06-2023,South,Clothing,Jacket,7,70.18,77.33,5,541.28,50.02,Profit,,
203,29-09-2023,West,Electronics,Laptop,13,194.68,303.25,0,3942.19,1411.31,Profit,,
204,24-06-2024,West,Clothing,Jeans,4,103.59,133.5,5,534.01,119.66,Profit,,
205,13-09-2024,North,Office Supplies,Printer,3,71.9,84.51,15,253.54,37.85,Profit,,
206,09-03-2024,Central,Clothing,Jacket,2,99.83,112.04,0,224.07,24.42,Profit,,
207,05-08-2023,South,Furniture,Table,16,331.47,288.25,40,4612.03,-691.46,Loss,,
208,06-07-2024,West,Grocery,Oil,13,29.34,38.17,0,496.25,114.82,Profit,,
209,07-12-2024,West,Office Supplies,Printer,6,27.14,51.67,0,310.02,147.18,Profit,,
210,25-07-2023,Central,Office Supplies,Paper,4,58.38,84.44,10,337.76,104.25,Profit,,
211,31-12-2024,Unknown,Furniture,Table,4,172.02,233.31,5,933.23,-245.13,Loss,,
212,16-11-2023,West,Electronics,Monitor,17,286.65,281.02,20,4777.36,-95.62,Loss,,
213,13-02-2024,North,Office Supplies,Printer,14,27.17,21.55,40,301.71,-78.64,Loss,,
214,18-11-2024,North,Office Supplies,Pen,2,35,52.2,15,104.4,34.4,Profit,,
215,27-10-2024,South,Office Supplies,Stapler,3,37.80701923,43.98,10,131.94,45,Profit,,
216,18-01-2024,South,Office Supplies,Stapler,13,27.98,49.02,5,637.28,273.52,Profit,,
217,24-03-2024,Central,Furniture,Sofa,6,66.85,104.33,10,625.96,224.85,Profit,,
218,13-06-2024,South,Grocery,Rice,2,9.74,18.38,0,36.76,17.28,Profit,,
219,07-04-2024,North,Office Supplies,Paper,14,74.37,79.74,20,1116.37,75.23,Profit,,
220,04-05-2023,North,Office Supplies,Paper,4,29.82,46.08,0,184.32,65.04,Profit,,
221,11-09-2023,Central,Grocery,Oil,14,13.21,15.38,5,215.28,30.33,Profit,,
222,19-08-2023,Central,Grocery,Beverages,10,11.33,17.6,10,176.02,-62.67,Loss,,
223,07-03-2023,West,Electronics,Monitor,5,780.51,1157.96,20,5789.8,1887.24,Profit,,
224,13-12-2023,Unknown,Clothing,Shirt,4,90.21,109.85,20,439.39,78.56,Profit,,
225,22-01-2023,South,Clothing,Shirt,10,97.29,153.56,5,1535.6,-562.73,Loss,,
226,25-08-2024,North,Office Supplies,Pen,10,34.38,48.03,5,480.27,-136.47,Loss,,
227,21-07-2024,North,Grocery,Snacks,17,9.08,10.58,10,179.89,25.57,Profit,,
228,24-08-2023,North,Office Supplies,Pen,13,8.67,12.33,0,160.24,47.52,Profit,,
229,25-08-2024,East,Grocery,Rice,8,22.71,39.86,0,318.88,137.23,Profit,,
230,14-08-2023,South,Grocery,Oil,5,20.71,21.68,10,108.42,4.87,Profit,,
231,08-01-2023,West,Grocery,Snacks,8,11.55,12.83,10,102.64,10.28,Profit,,
232,14-03-2023,West,Grocery,Beverages,9,10.64,17.55,10,157.95,62.2,Profit,,
233,25-12-2024,South,Electronics,Monitor,13,833.9,909.29,5,11820.8,980.09,Profit,,
234,08-10-2024,South,Clothing,Shirt,9,54.36,99.09,0,891.84,402.57,Profit,,
235,02-03-2023,Central,Office Supplies,Paper,19,74.97,69.13,20,1313.5,-110.94,Loss,,
236,23-08-2023,North,Furniture,Table,18,155.92,298.96,0,5381.23,2574.68,Profit,,
237,11-03-2023,West,Electronics,Headphones,11,487.44,550.13,0,6051.44,689.55,Profit,,
238,02-02-2023,Central,Office Supplies,Paper,15,37.05,53.87,10,808.03,252.27,Profit,,
239,05-12-2023,South,Grocery,Oil,19,32.16,44.47,0,844.95,233.87,Profit,,
240,14-03-2023,South,Grocery,Snacks,8,5.5,7.57,20,60.56,16.53,Profit,,
241,10-06-2024,North,Clothing,Jeans,10,92.75,117.63,10,1176.26,248.76,Profit,,
242,01-09-2023,Central,Electronics,Tablet,10,750.17,1129.82,5,11298.24,3796.53,Profit,,
243,13-10-2023,South,Electronics,Mobile,19,1051.39,1165.11,10,22137,2160.57,Profit,,
244,16-11-2024,Central,Electronics,Laptop,3,217.09,379.17,0,1137.51,486.25,Profit,,
245,12-05-2024,Central,Electronics,Tablet,13,605.1720253,288.8,10,3754.39,731.71,Profit,,
246,08-08-2023,North,Electronics,Mobile,4,202.72,255.21,5,1020.85,209.98,Profit,,
247,06-07-2024,South,Grocery,Beverages,19,24.91,33.16,10,630.06,156.76,Profit,,
248,16-05-2023,North,Office Supplies,Notebook,4,6.56,6.5,20,26.01,-0.22,Loss,,
249,07-08-2024,East,Furniture,Cabinet,13,538.29,404.28,40,5255.62,-1742.13,Loss,,
250,13-08-2024,East,Furniture,Cabinet,7,320.58,628.99,0,4402.95,2158.87,Profit,,
251,29-04-2024,East,Office Supplies,Stapler,13,55.68,85.57,0,1112.38,388.48,Profit,,
252,06-09-2023,South,Furniture,Sofa,5,423.6,491.66,0,2458.31,340.32,Profit,,
253,29-04-2024,Unknown,Office Supplies,Notebook,3,49.48,61.8,0,185.41,36.98,Profit,,
254,21-02-2024,North,Clothing,Jacket,4,22.84,26.63,5,106.5,15.15,Profit,,
255,14-07-2023,South,Office Supplies,Stapler,10,4.32,7.57,10,75.65,32.49,Profit,,
256,07-04-2023,West,Grocery,Spices,18,11.95,18.8,20,338.39,123.2,Profit,,
257,10-04-2023,West,Electronics,Headphones,11,1150.79,1379.79,5,15177.71,2519.05,Profit,,
258,05-11-2024,West,Office Supplies,Printer,18,28.61,22.58,30,406.38,-108.53,Loss,,
259,17-03-2024,East,Grocery,Oil,9,8.03,8.1,10,72.88,0.63,Profit,,
260,29-12-2023,Central,Grocery,Oil,2,24.91,29.7,0,59.4,9.58,Profit,,
261,09-03-2024,South,Grocery,Oil,10,26.69,33.35,5,333.51,66.56,Profit,,
262,25-02-2024,West,Clothing,Jeans,12,95.88,140.38,15,1684.56,534.01,Profit,,
263,23-04-2024,West,Electronics,Monitor,7,1018.81,1333.78,0,9336.43,2204.78,Profit,,
264,25-02-2023,Unknown,Grocery,Spices,14,27.25,39.74,0,556.37,174.94,Profit,,
265,20-11-2024,South,Furniture,Bed,8,242.7,429.07,5,3432.58,1490.96,Profit,,
266,31-10-2024,East,Clothing,Jeans,5,86.09,102.78,10,513.9,83.46,Profit,,
267,23-10-2024,East,Electronics,Tablet,9,605.1720253,607.55,15,5467.93,1436.43,Profit,,
268,11-04-2023,South,Electronics,Monitor,3,433.78,672.03,0,2016.09,714.75,Profit,,
269,04-03-2023,West,Electronics,Headphones,16,279.24,318.19,20,5091.02,623.12,Profit,,
270,17-02-2024,North,Office Supplies,Stapler,16,30.02,20.19,40,323.09,-157.19,Loss,,
271,14-12-2023,Central,Electronics,Mobile,5,533.38,788.53,0,3942.65,1275.73,Profit,,
272,22-04-2023,West,Office Supplies,Notebook,9,32.94,38.54,20,346.86,50.42,Profit,,
273,12-09-2023,East,Furniture,Sofa,2,702.44,891.84,0,1783.68,378.8,Profit,,
274,16-07-2023,South,Electronics,Mobile,3,246.49,346.11,10,1038.32,298.86,Profit,,
275,14-07-2023,South,Electronics,Tablet,5,781.24,1248.05,0,6240.27,2334.06,Profit,,
276,03-07-2024,West,Office Supplies,Notebook,15,22.84,26.43,10,396.48,53.9,Profit,,
277,04-04-2024,East,Furniture,Cabinet,15,247.23,203.97,30,3059.49,-648.97,Loss,,
278,24-05-2023,West,Clothing,Shoes,7,103.19,181.79,0,1272.55,550.21,Profit,,
279,08-03-2024,East,Office Supplies,Printer,2,21.38,23.57,40,47.14,4.38,Profit,,
280,07-07-2023,Central,Clothing,Jacket,17,160.12,175.99,5,2991.85,269.87,Profit,,
281,13-10-2023,North,Grocery,Beverages,10,23.5,29.66,10,296.64,61.61,Profit,,
282,18-04-2024,South,Grocery,Snacks,19,14.81,29.33,0,557.3,275.88,Profit,,
283,13-09-2023,Unknown,Clothing,Jacket,14,62.21,51.79,30,725.06,-145.95,Loss,,
284,19-03-2023,South,Electronics,Monitor,9,386.6,503.62,20,4532.62,1053.18,Profit,,
285,29-03-2024,East,Furniture,Chair,12,736.55,796.72,20,9560.58,721.93,Profit,,
286,17-07-2024,Central,Office Supplies,Stapler,1,4.25,5.84,30,5.84,1.58,Profit,,
